Timestamp;Наименование;"Синонимичные наименования
(Если несколько, пишите через запятую)";Семейство;Красная книга ;Есть ли ножка;"Размер ножки ОТ в мм (диаметр)
в ответ только число";"Размер ножки ДО в мм  (диаметр)
в ответ только число";Тип ножки ;"Цвет ножки
(Если несколько, пишите через запятую)"; Тип шляпки;"Цвет шляпки
(Если несколько, пишите через запятую)";Под шляпкой ;Описание гриба;"Двойники, если есть, то добавить в форму
(Если несколько, пишите через запятую)";Фотографии
12.7.2023 6:25:19;Говорушка буро-желтая;Рядовка водопятнистая, Рядовка золотистая, Рядовка буро-жёлтая;Рядовковые;Нет;Да;5;10;Ровная;Желто-охряный, бледно-охряный;Вогнутая;Желтовато-охряный, желто-оранжевый, рыжеватый, желтоватый, коричневато-желтоватый, кремовый, желтовато-молочный;Пластинчатая;"Говорушка буро-жёлтая растет с начала июля до конца октября (массово с середины августа до середины октября) в хвойных и смешанных лесах, группами, не редко.
По некоторым зарубежным источникам Говорушка буро-жёлтая — ядовитый гриб с ядами, аналогичными мускарину. По другим микологическим источникам — условно-съедобный гриб.";Говорушка перевёрнутая, Рядовка рыжая;https://drive.google.com/open?id=19N2n3OTPm_OcCHi5gFDTjt5NmiFBVc0o
12.7.2023 6:29:00;Опёнок летний;Опеногаллеринный опенок, Кюнеромицес изменчивый;Строфариевые;Нет;Да;3;5;С юбкой;Коричневый, бурый, темно-бурый;Выпуклая;Желто-бурый;Пластинчатая;"Опёнок летний растет с июня по октябрь (обильно плодоносит, как правило, в июле-августе, не позже) на гниющей древесине, на пнях и валежнике лиственных деревьев, преимущественно березы. При подходящих условиях попадается в огромном количестве. На хвойных деревьях встречается редко.
Считается очень хорошим съедобным грибом, особенно в западной литературе.";Галерина окаймленная, Опёнок зимний, Ложноопёнок серно-желтый;https://drive.google.com/open?id=18UTCSK9pJCWubFce5xhbJRcjFxxhi493
12.7.2023 6:33:19;Рядовка желто-красная;Рядовка краснеющая, Песочник красный, Ложнорядовка жёлто-красная, Опёнок жёлто-красный, Опёнок красный, Опёнок сосновый;Рядовковые;Нет;Да;10;15;Утолщенная внизу;Желто-красный;Выпуклая;Желто-оранжевый, желто-красный, бордово-коричневый, бордово-фиолетовый;Пластинчатая;"Рядовка жёлто-красная встречается нечасто в хвойных лесах. Произрастает на пнях лиственницы и на валеже, на завалах, в поймах. Предпочитает древесину именно хвойных пород деревьев. Плодоносит с июля по сентябрь. Как правило, растет пучком по три-четыре гриба.
Рядовка жёлто-красная съедобна, употребляется в жареном, соленом, маринованном или вареном виде. Относится к условно-съедобным, четвертой категории вкусовых качеств.";;https://drive.google.com/open?id=13531hCp5JX15JBhvTR7ChP87fH8omMqi
12.8.2023 11:15:28;Чёрный груздь;Оливково-чёрный груздь, Чернушка, Черныш, Чёрная дуплянка, Цыган, Чёрный еловый груздь, Оливково-коричневый груздь;Сыроежковые;Нет;Да;15;30;Утолщенная внизу;Тёмно-оливковый;Ровная;Тёмно-оливковый;Пластинчатая;"Чёрный груздь образует микоризу с берёзой. Произрастает в смешанных лесах, березняках, обычно большими группами во мху, на подстилке, в траве, в светлых местах и у лесных дорог.
Сезон с середины июля до середины октября (массово с середины августа до конца сентября).
Условно-съедобный гриб, используется, как правило, солёным или свежим во вторых блюдах. ";;https://drive.google.com/open?id=1aCGWZVZoIGuiufcaud6yjWzVQceEzK3k
12.8.2023 11:17:55;Рыжик настоящий;Рыжик обыкновенный, Рыжик осенний, Рыжик сосновый, Рыжик боровой, Рыжик деликатесный, Рыжик благородный;Сыроежковые;Нет;Да;10;20;Ровная;Рыжий, беловато-оранжевый;Ровная;Рыжий, беловато-оранжевый;Пластинчатая;"Основными местами произрастания являются горные хвойные леса Сибири, Урала и европейской части России.
Рыжик — съедобный гриб первой категории.
Используется преимущественно для засола и маринования, но можно употреблять его и в жареном виде.";;https://drive.google.com/open?id=1c8JAMtzxrNK6xL2OaD98sVDm-zfKOMoJ
12.8.2023 11:21:29;Мокруха еловая;Мокруха клейкая, Гриб слизняк;Мокруховые;Нет;Да;6;20;С юбкой;Белый, черноватый, коричневатый;Выпуклая;Серый, серовато-коричневый, фиолетовый, серо-синий, шоколадно-коричневый, пурпурный;Пластинчатая;"С середины июля до заморозков. Массово плодоносит с августа по сентябрь. Распространен повсеместно в северном и умеренном поясе республик бывшего СССР, в Алтайском крае, Западной Европе, Северной Америке.
Съедобный гриб 4 категории, напоминающий по вкусу маслят, перед употреблением рекомендуется очистить от кожицы и отварить.";;https://drive.google.com/open?id=1xuNVNo-9lrUl9qCxtW69EDSLpaEea1Yv
12.8.2023 11:24:46;Рядовка украшенная;Рядовка красивая, Рядовка оливково-жёлтая;Рядовковые;Нет;Да;5;10;Ровная;Пурпурный, желтоватый;Выпуклая;Жёлто-охряный, желтоватый;Пластинчатая;"Украшенные рядовки чаще всего встречаются в смешанных или хвойных лесах, где растут сосны. Предпочитают расти на подгнивающей древесине хвойных пород деревьев (чаще это – сосны, иногда – ели). Увидеть рядовку украшенную также можно на пнях. Этот гриб растёт в составе небольших групп, встречается нечасто. Наиболее активное его плодоношение приходится на период с августа по вторую декаду октября.
Рядовка украшенная – условно-съедобный гриб, обладающий низким качеством. Его мякоть очень горькая, что обуславливает неприязнь многих гурманов к этому виду рядовок.";Рядовка желто-красная;https://drive.google.com/open?id=1hpevu8ZYrvp7JoZwrKpsgZbIGlJdf98D
12.8.2023 11:29:04;Полубелый гриб;Желтожебрик, Болет полубелый, Боровик жёлтый;Болетовые;Да;Да;20;60;Утолщенная внизу;Кремовый или от светло-жёлтого до жёлтого, снизуКрасноватый, ржавый, желто-оранжевый, красный;Выпуклая;Сероватый, серовато-охристый, светло-серый, оливковый, светло-коричневый, глинистый, рыжеватый;Трубчатая;"Период плодоношения на территории стран СНГ с конца мая по октябрь, более массово в августе-сентябре. Растёт как на кислых, так и известковых почвах. Образует микоризу с дубом, буком, каштаном, грабом, липой, сосной. Предпочитает влажные пойменные широколиственные леса, влажные глинистые с примесью извести почвы. Встречается редко, может быть не ежегодно, иногда обильно.
Съедобный гриб 2-й категории. По некоторым оценкам, очень вкусный гриб, не уступающий Белым грибам. ";Белый гриб, Боровик неопушённый, Дубовик обыкновенный, Боровик придаточный;https://drive.google.com/open?id=1diebownz6H-Egc6AkiiReXJYp3HsmQ5F
12.8.2023 11:32:23;Скрипица;Груздь войлочный, Скрипун, Скрипуха, Молочай, Подскрёбыш молочный, Подсухарь;Сыроежковые;Нет;Да;20;50;Ровная;Белый;Вогнутая;Белый, желтоватый, красновато-бурый, охристый;Пластинчатая;"Скрипица образует микоризу с лиственными и хвойными деревьями, часто с березой. В хвойных и лиственных лесах, обычно группами.
Сезон — Лето-осень.
Условно-съедобный гриб. Съедобна в соленом виде после вымачивания.";Млечник Бертиллона;https://drive.google.com/open?id=1yZL_rehcvKx9KQsOBQS_VeKzxkOT4vdF
12.8.2023 11:35:59;Цезарский гриб;Цезарев гриб, Кесарев гриб, Мухомор цезаря;Аманитовые;Нет;Да;15;25;Утолщенная внизу; Светло-жёлтый, золотистый;Выпуклая;Оранжевый, огненно-красный, желтоватый;Пластинчатая;"Встречается с июня по октябрь в старых светлых лесах, перелесках, лесных порослях, на границе лиственных лесов и лугов. Традиционно произрастает под каштанами и дубами, реже — по соседству с буками, берёзами, орешником или хвойными породами деревьев на кислых или декальцинированных почвах, спорадически, одиночно. 
Исключительно вкусный съедобный гриб (1-ая категория), чрезвычайно ценимый ещё с античных времён. Используется варёным, жареным, сушёным, маринованным.";Мухомор красный, Поплавок шафрановый;https://drive.google.com/open?id=1dZB8VYvg4t1l3Vu6ixG9P2Lr88BfPbho
12.8.2023 11:39:30;Аурикулярия извилистая;Аурикулярия плёнчатая;Аурикуляриевые;Нет;Нет;;;;;Ровная; Коричневый, светло-серый;Гладкая;"Аурикулярия извилистая обитает в лиственных, главным образом низинных лесах на упавших стволах деревьев: вязы, тополя, ясени. Обычный гриб для района Нижнего Дона.
Гриб Аурикулярия извилистая Съедобен, но пищевое качество низкое.";;https://drive.google.com/open?id=1Q0Th9bhqu6zJC3WCCS_eKiwmifo8eXsy
12.8.2023 11:45:14;Волнушка белая;Белянка, Волжанка;Сыроежковые;Нет;Да;10;20;Ровная;Беловатый, розоватый;Вогнутая;Белый, розовый, желтый;Пластинчатая;"Волнушка белая встречается с начала августа по конец сентября в смешанных и лиственных лесах, образовывая микоризу главным образом с березой; предпочитает молодые березняки и приболоченные места. В удачный сезон может появляться в зарослях молодых березок в огромных количествах.
Хороший гриб, пригодный для засола и маринования.";Волнушка розовая;https://drive.google.com/open?id=1h43SXix8WgOr8uE42xNXd95egPFH3Qt_
12.8.2023 11:50:23;Подмолочник;Подоречник, Молочай;Сыроежковые;Нет;Да;15;30;Утолщенная внизу;Рыже-бурый, коричнево-бурый, ржавый, светло-охристый;Выпуклая;Рыже-бурый, коричнево-бурый, ржавый, светло-охристый;Пластинчатая;"Встречается с июля по октябрь. Один из самых ранних млечников. Растет в лиственных, смешанных и еловых лесах.
Съедобный гриб, который можно есть даже сырым. Хорош в сыро засоленном или квашенном виде, без какой-либо термообработки. ";Млечник гигрофоровидный, Млечник оранжевый;https://drive.google.com/open?id=1P0wIcbxpoIDenn8L1SGO5QQ7BMye3JBs
12.11.2023 14:18:51;Волнушка розовая;Волнянка, Волжанка, Волвенка, Волвяница, Волминка, Волнуха, Краснуха, Красуля, Отваруха;Сыроежковые;Нет;Да;10;20;Ровная;Бледно-розовый;Ровная;Розовато-красный;Пластинчатая;"Волнушка растет с сердины лета по октябрь в лиственных и смешанных лесах, предпочитая образовывать микоризу с немолодоыми березами. Иногда появляется большими группами в густой траве на опушках.
В России Условно-съедобный гриб хорошего качества, употребляется в солёном и маринованном виде, иногда свежим во вторых блюдах.";Волнушка белая, Млечник шиповатый;https://drive.google.com/open?id=1u5zmjU-Xueh8reoQ482zhzB-Y7kkoy_Z
12.11.2023 14:22:57;Рядовка чешуйчатая;Рядовка коричневатая, Рядовка волокнисто-чешуйчатая, Сластушка;Рядовковые;Нет;Да;10;20;Утолщенная внизу;Белый, желтоватый, светло-ржавый;Выпуклая;Рыжевато-коричневый, красновато-коричневый;Пластинчатая;"Рядовка чешуйчатая встречается в смешанных или хвойных лесах, где много сосен. Увидеть этот вид грибов можно в лесистых местностях, где произрастает сосновый молодняк. Период массового плодоношения приходится на осень (сентябрь), а  первый урожай этих грибов можно собрать уже в середине августа. Завершается же плодоносный период у сластушек примерно в середине октября.
Гриб Рядовка чешуйчатая является съедобным, правда, некоторые грибники относят этот вид к условно-съедобным или несъедобным. Такая путаница возникает по причине того, что описываемый вид грибов изучен не до конца. ";Рядовка жёлто-бурая;https://drive.google.com/open?id=1C4dDLq46DP80SFWP7BARZoLWipQ7lFiJ
12.11.2023 14:26:37;Боровик прекрасный;Боровик красивейший;Болетовые;Нет;Да;40;100;Утолщенная внизу;Красновато-коричневый, темно-красный;Выпуклая;Красноватый, коричневатый, желтоватый, оливково-коричневый;Трубчатая;"Боровик прекрасный образует микоризу с такими хвойными деревьями: камнеплодник, лжетсуга тиссолистная и пихта великая. Сезон роста этого гриба припадает у грибников на конец лета и длится до конца осени.
Боровик прекрасный относится к ядовитым грибам.";;https://drive.google.com/open?id=11bL6p1hckWVxKLbANpsEpWFYPfXD4Yb2
12.11.2023 14:30:29;Мухомор жемчужный;;Аманитовые;Полусъедобен;Да;10;30;С юбкой;Белый;Выпуклая;Желто-коричневый, грязно-коричневый, красноватый;Пластинчатая;"Встречается мухомор жемчужный достаточно часто. Это один из самых неприхотливых видов грибов. Произрастает на любых почвах, в любом лесу. Встречается летом и растет до поздней осени.
Мухомор жемчужный - условно-съедобный гриб. В сыром виде не употребляется, его необходимо тщательно прожаривать. Для сушки не подходит, но его можно солить, замораживать или мариновать.";Пантерный мухомор, Коренастый мухомор;https://drive.google.com/open?id=1Dbw2Z-_bqeZfht3LDiqXRtLCFCumxHXd
12.11.2023 14:33:56;Строфария сине-зеленая;;Строфариевые;Нет;Да;8;20;С юбкой;Бледно-синеватый, бледно-зеленоватый;Выпуклая;Сине-зеленый;Пластинчатая;"Строфария сине-зеленая растет группами или пучками на мертвых стволах и пнях хвойных деревьев, главным образом елей, сосен, пихт. Реже она встречается на мертвых лиственных деревьях. Плодовые тела обильно появляются летом и осенью, как в низинах, так и в горах. 
Строфарию сине-зеленую в Европе считают съедобным, но низкокачественным грибом. Перед приготовлением необходимо снимать со шляпки скользкую кожицу. В США этот гриб относят к числу ядовитых, так как там были отмечены случаи отравления строфарией сине-зеленой.";;https://drive.google.com/open?id=1jiSrjv2lRP6GUWYlNjGHwx_PM1QzdD1z
12.11.2023 14:37:13;Галерина окаймленная;;Гименогастровые;Нет;Да;2;5;Утолщенная внизу;Светло-желтый, рыжеватый;Выпуклая;Желто-бурый, охряный;Пластинчатая;"Галерина окаймлённая произрастает с середины июня по октябрь в лесах различного типа, предпочитая сильно перегнившую древесину хвойных пород; часто растет на субстрате, погруженном в землю и от того невидимом. Плодоносит небольшими группами.
Гриб крайне ядовит. Содержит токсины, аналогичные токсинам бледной поганки.";Летний опенок;https://drive.google.com/open?id=1rzcKJV_v1lU-2iylWqRkb4Tpntu3pX8I
12.11.2023 14:44:06;Головач гигантский;Дождевик гигантский, Лангермания гигантская;Шампиньоновые;Полусъедобен;Нет;;;;;Выпуклая;Шелый, желто-зеленый;Гладкая;"Гриб можно встретить практически везде, но наиболее часто в умеренном поясе. Встречается в одиночку, но появившись в одном месте он может исчезнуть совсем или не появляться очень долго. Такой вид получил название «метеорный». На территории России встречался в европейской части, в Карелии, на Дальнем Востоке, в Сибири в Красноярском крае. Также на Северном Кавказе. Растет в смешанных и лиственных лесах, на лугах, полях, на выгонах, в степях по одному.
Съедобен в молодом возрасте, пока мякоть упругая, плотная и белого цвета.";;https://drive.google.com/open?id=1OyPZ56AHANEUl7jS14BMz0UAMWpQ9d6a
12.11.2023 14:47:12;Подгруздок белый;Сухарь, Сухой груздь, Сыроежка превосходная, Сыроежка приятная;Сыроежковые;Нет;Да;10;25;Ровная;Беловатый;Вогнутая;Беловатый;Пластинчатая;"Гриб растет с середины лета и до начала октября. Его ареал – березовые, осиновые, дубовые леса, смешанные леса. Гораздо реже встречается в хвойных лесах. В целом это довольно распространенный вид гриба на территории всей Евразии.
Гриб относится к съедобным. Но вкусовые качества довольно-таки посредственные.";Сыроежка коротконогая, Сыроежка ложнороскошная, Скрипица съедобная;https://drive.google.com/open?id=1zptVWQvzWtmbVZofnnllif-bZ5t7gSu6
12.11.2023 14:50:01;Перечный гриб;Маслёнок перечный, Моховик перечный;Болетовые;Полусъедобен;Да;10;15;Ровная;Медно-красный, темно-ржавый;Выпуклая;Медно-красный, темно-ржавый;Трубчатая;"Перечный гриб обычен в сухих хвойных лесах, встречается довольно часто, но как правило, не слишком обильно, с июля и до конца осени. Также может образовывать микоризу с лиственными породами, например, с молодыми березами.
Гриб, безусловно, не ядовит. Многие источники сообщают, что он «несъедобен по причине острого перечного вкуса».";;https://drive.google.com/open?id=1VBepjeWlCZrR4bsRW7Jz2JBLCUo7h5CW
12.11.2023 14:53:40;Подосиновик красный;Красноголовик, Подосиновик обыкновенный, Подосиновик кроваво-красный;Болетовые;Нет;Да;20;50;Утолщенная внизу;Белый, зеленоватый, красновато-коричневый;Выпуклая;Красно-оранжевый;Трубчатая;"Подосиновик красный растет с июня по октябрь, образуя микоризу главным образом с осинами. Там, где их не собирают, встречается в колоссальных масштабах.
Хороший съедобный гриб.";Дубовый подосиновик, Подосиновик желто-бурый;https://drive.google.com/open?id=16xyVLYvSwBlZ21wW0rar7R5xjkgn3l1w
12.11.2023 15:58:54;Панеолус колокольчатый;Панеолус мотыльковый, Навозник колокольчатый, Навозник мотыльковый;Псатирелловые;Нет;Да;2;3;Ровная;Красноватый, черновато-коричневый, черный;Выпуклая;Беловатый, серый, красновато-коричневый, коричневатый;Пластинчатая;"Растет в основном группами, иногда по одиночке, на почве, хорошо унавоженной коровьим или лошадиным навозом, часто прямо на навозе. Распространен на плодородных лугах и речных долинах, часто на или рядом с местами, где растет особенно высокая трава (навоз, плодородные почвы).
Панеолус колокольчатый – гриб несъедобный, а некоторые источники утверждают, что даже ядовитый";;https://drive.google.com/open?id=1kb1HiPLrirHWM02aIyZJ4-y6eA1sSZre
12.11.2023 16:24:22;Говорушка дымчатая;;Рядовковые;Нет;Да;10;30;Утолщенная внизу;Сероватый, беловатый;Ровная;Желтовато-беловатый, грязно-белый, сероватый;Пластинчатая;"Говорушка дымчатая растет с начала сентября до ноября (массовое плодоношение в сентябре) в хвойных и смешанных (с дубом, елью) лесах, в светлых местах, на подстилке, группами, рядами, встречается нечасто, не ежегодно.
Ядовитый гриб для многократного употребления: токсины постепенно накапливаются в организме, пока не вызывают желудочно-кишечные и неврологические отравления. ";Рядовка белая;https://drive.google.com/open?id=1y3QLpYux8jzJtjzLKmi9R7cldncWTOsW
12.11.2023 16:28:29;Рядовка грязная;Рядовка сорная, Синичка, Леписта грязная, Леписта сорная;Рядовковые;Нет;Да;10;15;Ровная;Сиреневый, буро-лиловый, коричневатый, красно-коричневый;Выпуклая;Сиреневый, буро-лиловый, коричневатый, красно-коричневый;Пластинчатая;"Произрастает в садах, огородах, парках, скверах, на опушках лесов или не глубоко в светлых лесах. Может быть встречена на лугах. Растет группой/пучком из нескольких плодовых тел, реже встречается одиночно. Наиболее активное плодоношение этого вида рядовок начинается в июле и продолжается до конца сентября.
Несмотря на малую известность среди любителей грибного собирательства, гриб рядовка грязная принадлежит к числу съедобных. Его желательно перед употреблением в пищу отварить, но отвар с него не годится для употребления и потому его лучше вылить.";Фиолетовая рядовка;https://drive.google.com/open?id=1y-_i4WDxFrBJhhthmd54_MDDeszjJKEM
12.11.2023 16:31:50;Боровик королевский;;Болетовые;Нет;Да;40;60;Утолщенная внизу;Желтовато-бурый;Выпуклая;Розовый, фиолетовато-красный, ровозовато-красный;Трубчатая;"Встречается боровик королевский преимущественно в буковых и других лиственных лесах. В России распространен на Кавказе, а также редко встречается на Дальнем Востоке. Это гриб предпочитает песчаные и известковые почвы. Собирать это гриб можно с июня по сентябрь.
Хороший съедобный гриб. Боровик королевский имеет душистую и плотную мякоть, которая очень высоко ценится. Употреблять этот гриб можно как в свежеприготовленном, так и в консервированном виде.";Боровик красивый;https://drive.google.com/open?id=1g8_beeGQ_d1jLxyAo9ePl-ccmOIJcD7H
12.11.2023 16:37:22;Валуй;Сыроежка вонючая;Сыроежковые;Полусъедобен;Да;20;50;Ровная;Белый, сероватый, грязно-коричневый, красновато-коричневый;Выпуклая;Светло-охристый, красновато-коричневый, красновато-чёрный;Пластинчатая;"Обычен в слегка влажных лесах, на тяжелых почвах, под лиственными и хвойными деревьями, как на равнинах, так и в горах. Обильно растёт по всей Европе, Азии и Северной Америке. Часто плодоносит большими группами.
Начинает плодоносить с июля, при тёплой весне — даже с июня, до осени.
Ряд зарубежных источников безоговорочно относит Валуй к несъедобным и даже ядовитым видам. Так, например, итальянский источник: «Во всех смыслах его следует рассматривать как ядовитую сыроежку, хотя неприятный запах почти автоматически отпугивает.» На территории бывшего СССР валуй считается вполне съедобным грибом, если уметь его приготовить. За Уралом Валуёв заготавливают огромными бочками, в основном их солят.";Подвалуй;https://drive.google.com/open?id=1Sm7dEJhllo2ACc6-PheomGGgSddVbKTX
12.11.2023 16:40:51;Шампиньон лесной;Благушка;Шампиньоновые;Нет;Да;10;15;С юбкой;Грязно-белый, беловато-коричневатый;Выпуклая;Светло-рыжевато-коричневый, охристый, красновато-коричневый;Пластинчатая;"Со второй половины лета, активно — с августа и до середины осени, при теплой погоде вплоть до конца ноября. Одиночно или группами, иногда образует «ведьмины круги».
Гриб широко распространён по всей территории Европы, включая Англию и Ирландию, в Азии. Хороший съедобный гриб, особенно в молодом возрасте";Шампиньон августовский;https://drive.google.com/open?id=1yk3VQFh-XZfrQczZUy4RwxSx34GXIlkp
12.11.2023 16:45:08;Зонтик белый;Зонтик полевой, Зонтик луговой;Шампиньоновые;Нет;Да;6;12;С юбкой;Белый, желтоватый, буроватый;Выпуклая;Беловатый, кремовый, бурый;Пластинчатая;Съедобный гриб с приятным вкусом и запахом. Растет он в лесах, на лугах и в степях с мая по ноябрь, достигая особенно крупных размеров на гумусных степных почвах. За обильное плодоношение на лугах и в степях его называют иногда гриб-зонтик луговой.;Зонтик пестрый, Мухомор вонючий, Лепиота ядовитая;https://drive.google.com/open?id=1vlxFFGxE-Ml59YsOaucbDGEGj2IC8Rtw
12.11.2023 16:48:31;Рядовка голубиная;Рядовка сизоватая;Рядовковые;Нет;Да;10;20;Утолщенная внизу;Белый, желтоватый;Ровная;Белый, желтоватый;Пластинчатая;"Рядовка голубиная произрастает поодиночке или не небольшими группами с середины августа до конца сентября в лесах смешанного типа. Любит селиться по соседству с дубом и березой. Грибниками замечены случаи ее роста не только в лесу, но и на лугах и пастбищах.
Рядовка голубиная является съедобной, применяется в большом разнообразии приготавливаемых блюд.";;https://drive.google.com/open?id=1K5bt7zr17BAzfGqv1YprQE2VmHS0YIZ5
12.11.2023 16:51:44;Паутинник съедобный;Толстушка;Паутинниковые;Нет;Да;15;20;Ровная;Беловато-буроватый;Выпуклая;Беловато-сероватый, глинистый;Пластинчатая;"Распространен в европейской части России, в лесах Белорусии. Поселяется в хвойных лесах.
Паутинник съедобный употребляется в пищу в жареном виде или в соленом.";Паутинник многообразный;https://drive.google.com/open?id=1mOe61UWo-dshnxGhmq2OGAm7MFsCfMW4
12.11.2023 16:55:16;Белый гриб сетчатый;Белый гриб дубовый, Боровик сетчатый, Белый летний гриб;Болетовые;Да;Да;20;100;Утолщенная внизу;Беловатый, бежевый, светло-коричневый;Выпуклая; Светло-коричневый, коричневый, охристый;Трубчатая;"Один из самых ранних видов белых грибов. Период плодоношения на территории стран СНГ с мая по октябрь, слоями. Растёт в лиственных и смешанных лесах. Образует микоризу с дубом, липой, буком, каштаном, орешником, грабом. Предпочитает теплый климат, чаще встречается в гористой и холмистой местностях, в средней полосе – светлые опушки и разреженные места, растёт на суховатых щелочных почвах.
Превосходный съедобный гриб 1-й категории, ценится наравне с настоящим Белым грибом. Может подвергаться любым видам переработки.";Жёлчный гриб, Дубовик обыкновенный;https://drive.google.com/open?id=1li6gGKzBGcd1OI6k3NiqVxXnrWMvc2Rs
3.20.2024 17:52:20;Сыроежка Мэйра;Сыроежка заметная;Сыроежковые;Нет;Да;10;20;Ровная;Белый, буроватый, желтоватый;Ровная;Насыщенно-красный, красновато-розовый;Пластинчатая;"Сыроежки Мэйра широко распространены по всей территории Южной Европы. Встретить этот вид можно исключительно в лиственных буковых лесах.
Сыроежка Мэйра считается слабо ядовитым, несъедобным грибом. Имеет горьковатый привкус мякоти. При употреблении в сыром виде может спровоцировать не сильное отравление желудочно-кишечного тракта.";Сыроежка жгучеедкая, Сыроежка розовая;https://drive.google.com/open?id=1ZWB-w3Gi13-FHc5WgEMzNJR5169mjtvg
3.20.2024 17:55:32;Ежовик коралловидный;Коралловый гриб, Ежевик решетчатовидный, Гериций ветвистый, Гериций коралловидный, Гериций коралловый, Гериций решетчатовидный;Герициевые;Да;Нет;;;;;Выпуклая;Белый, кремовый;Шипастая;"Растет ежовик коралловидный с начала июля до середины сентября на пнях и валеже лиственных пород (осины, дуба, чаще березы), единично, очень редко. Ежовик коралловидный — гриб редкий или даже очень редкий.
Считается съедобным грибом.";;https://drive.google.com/open?id=1A47iF8pE7gfE9hk0iw7uSkjX8IMVrTKN
3.20.2024 17:58:40;Рядовка скученная;Лиофиллум скученный, Рядовка групповая;Лиофилловые;Нет;Да;5;15;Утолщенная внизу; Белый, коричневатый;Выпуклая;Серо-коричневый;Пластинчатая;"Поздний гриб; встречается с конца августа до конца октября в лесах различного типа, предпочитая специфические участки вроде лесных дорог, прореженных опушек; иногда попадается в парках, на лугах, в разнотравье. В большинстве случаев плодоносит крупными сростками.
Рядовка скученная считается низкокачественным съедобным грибом..";Рядовка сросшаяся, Опёнок луговой;https://drive.google.com/open?id=1RE_p807LqiHKJnhCaFHcbBsX1g7NZKbZ
3.20.2024 18:01:34; Млечник дубовый;Млечник нейтральный, Груздь дубовый, Млечник спокойный, Поддубник, Подорешник;Сыроежковые;Нет;Да;5;10;Ровная;Коричнево-кремовый, коричневый;Ровная;Коричнево-кремовый;Пластинчатая;"Млечник дубовый встречается часто и обильно с июня по октябрь, предпочитая леса с примесью дуба.
Дубовый млечник, в принципе, съедобен, хотя не всем понравится специфический запах.";;https://drive.google.com/open?id=1DkLMnGxq4XWzEr-xIUdnG2sEaOgM-hdX
3.20.2024 18:07:54;Опёнок кирпично-красный;Гифолома кирпично-красная, Ложноопёнок кирпично-красный;Строфариевые;Полусъедобен;Да;10;20;Ровная;Беловатый, светло-охристый, коричневатый, светло-коричневый, ржаво-коричневый, красноватый, желтоватый;Выпуклая;Кирпично-красный, розовато-охристый, розоватый, ярко-красный;Пластинчатая;"Ложноопёнок кирпично-красный широко распространён в Европе, Азии, Америке.
Плодоносит с лета (конец июня-июль) и до осени, ноябрь-декабрь, вплоть до заморозков. Растёт группами и сростками на отмершей, гнилой, редко — живой древесине (на пнях и около пней, на крупном валеже, погружённых в землю отмерших корнях) лиственных пород, предпочитает дуб, встречается на берёзе, клёне, тополе, плодовых деревьях. 
Разные источники указывают очень разные данные о вкусе, от «мягкий», «немного горьковатый» до «горький». Часть русскоязычных источников относят кирпично-красного опёнка к несъедобным грибам или к условно-съедобным 4 категории.";Ложноопёнок серно-жёлтый;https://drive.google.com/open?id=19iXudnfDiPmehBNGaiehJjWG971TgDnJ
3.20.2024 18:10:32;Грабовик;Подберёзовик серый, Подберёзовик вязовый, Обабок серый;Болетовые;Нет;Да;15;40;Утолщенная внизу;Оливково-серый, буроватый, бурый;Выпуклая;Оливково-бурый, коричнево-серый;Трубчатая;"В основном Грабовик встречается в районах Кавказа. Плодоносит гриб с июня по октябрь. Как правило, произрастает под грабом, отсюда и название – Грабовик.
Съедобность: Грабовик хороший гриб, годный для употребления в сушеном, отварном, маринованном, соленом и жареном виде. Правда, его часто могут повреждать личинки.";Подберезовик;https://drive.google.com/open?id=1I3N6nWiR_iIx8sURCoJlvba8Y7VxrcR3
3.20.2024 21:13:23;Весёлка обыкновенная;Фаллюс нескромный, Сморчок вонючий, Сморчок подагрический, Выскочка, Яйцо ведьм, Срамотник;Весёлковые;Нет;Да;15;30;Утолщенная внизу;Грязно-белый, желтоватый;Выпуклая;Буро-оливковый;Лабиринтовидная;"Веселка имеет две стадии развития. Первая — гриб имеет яйцевидную форму, цвет грязно-белый, желтоватый. Под плотной кожурой веселки находится что-то слизистое, а под слизью прощупывается более жесткая структура. В стадии яйца веселка пребывает очень долго, возможно, несколько недель. Затем яйцо трескается, и веселка начинает с большой скоростью расти вверх. Вскоре формируется плодовое тело с высокой полой ножкой и маленькой прилегающей шляпкой
«Яйца» веселки появляются в середине июля; шляпочнообразные плодовые тела развиваются несколько позже. Растет в траве, в кустарниках, в лиственном редколесье. Предпочитает богатые почвы.
Считается, что в стадии яйца гриб съедобен; любителей, надо полагать, находится немного. Вместе с тем надо отметить, что веселка активно применяется в народной медицине.";Ложнодождевик;https://drive.google.com/open?id=1CgKawPEQXRB80P-yPCDNrjp_HnR818tB
